Function,Dims,Model,Run,MSE,MAE,R2,RMSE,train_time,n_params,expression,best_generation,best_fitness
rastrigin,5,GA-OBN (v1),0,0.017594333331233735,0.10506196682355086,0.343707419219336,0.1326436328333695,14.9058678150177,32,0.070*sin(9.370*x1 + -5.800*x2 + 2.730*x3 + 4.140*x4 + -5.290*x5) * 0.980*sin(7.870*x1 + 10.000*x2 + 3.790*x3 + -8.610*x4 + 8.050*x5) * 0.990*cos(-4.100*x1 + 1.330*x2 + -5.410*x3 + 7.540*x4 + 1.320*x5) + 0.230*(x1^8.170 + x2^2.020 + x3^7.650 + x4^2.040 + x5^2.060) + 0.170,297,2.073591994616744
rastrigin,5,GA-OBN (v1),1,0.0162156644028903,0.09915579244903922,0.39513364674330775,0.1273407413316347,20.076907873153687,32,0.160*(x1^9.750 + x2^2.180 + x3^8.330 + x4^2.440 + x5^2.460) + 0.050*(x1^5.980 + x2^0.350 + x3^0.890 + x4^9.690 + x5^0.400) * 0.600*sin(0.820*x1 + 0.930*x2 + 2.370*x3 + -1.210*x4 + 4.870*x5) * -0.490*(x1^2.410 + x2^8.310 + x3^2.470 + x4^7.270 + x5^2.070) + 0.290,292,1.9455682835840342
rastrigin,5,GA-OBN (v1),2,0.015506596605665713,0.0981743818496538,0.42158284068706897,0.12452548576763599,17.100526094436646,32,0.140*(x1^7.370 + x2^1.680 + x3^1.590 + x4^2.380 + x5^8.780) + -0.140*(x1^1.150 + x2^7.360 + x3^2.050 + x4^2.300 + x5^2.410) * -0.850*sin(-0.940*x1 + 6.060*x2 + 0.450*x3 + 6.860*x4 + -4.340*x5) * 0.370*sin(0.820*x1 + -6.290*x2 + -0.770*x3 + -6.520*x4 + -0.120*x5) + 0.300,297,1.9473348712609149
rastrigin,5,GA-OBN (v1),3,0.017075861047618057,0.10039466472366261,0.363047141087247,0.13067463811933078,24.321603059768677,32,0.000*sin(9.730*x1 + 9.160*x2 + -2.600*x3 + 6.990*x4 + 6.350*x5) + -0.210*(x1^2.160 + x2^1.890 + x3^1.910 + x4^1.920 + x5^2.170) * -0.490*(x1^2.350 + x2^1.860 + x3^1.590 + x4^1.730 + x5^2.080) * 0.150*(x1^1.730 + x2^2.220 + x3^2.370 + x4^2.370 + x5^1.620) + 0.390,244,1.741067920464309
rastrigin,5,GA-OBN (v1),4,0.015192458522121645,0.0979326978857823,0.4333006187744397,0.12325769153331424,19.902302026748657,32,-0.040*(x1^2.970 + x2^5.820 + x3^9.570 + x4^9.360 + x5^2.120) * 0.630*cos(5.940*x1 + 6.300*x2 + -8.160*x3 + -3.650*x4 + 3.890*x5) + -0.070*(x1^7.480 + x2^7.040 + x3^9.550 + x4^6.420 + x5^8.960) + 0.260*(x1^6.920 + x2^1.700 + x3^1.630 + x4^1.560 + x5^2.270) + 0.170,296,2.167093271747685
rastrigin,5,GA-OBN (v2),0,0.014349048876740808,0.09415816446410713,0.4647609465061914,0.11978751552954427,19.592115879058838,32,0.030*(x1^0.080 + x2^0.030 + x3^1.100 + x4^9.980 + x5^0.050) * -0.990*(x1^3.580 + x2^9.960 + x3^8.800 + x4^9.850 + x5^9.950) + 0.280*(x1^2.240 + x2^2.390 + x3^1.990 + x4^2.400 + x5^2.010) + -0.010*sin(-8.570*x1 + 5.810*x2 + 9.190*x3 + 9.450*x4 + 9.970*x5) + 0.120,295,2.2185512183657004
rastrigin,5,GA-OBN (v2),1,0.014991324952282106,0.09748417138524662,0.4408031746909681,0.1224390662831194,16.850234985351562,32,0.210*(x1^3.380 + x2^2.390 + x3^0.630 + x4^2.510 + x5^0.950) * 0.230*(x1^0.230 + x2^1.430 + x3^3.950 + x4^0.460 + x5^2.260) + 0.560*sin(-4.560*x1 + -9.930*x2 + -3.020*x3 + -7.340*x4 + -3.410*x5) * 0.080*sin(0.760*x1 + 9.480*x2 + 8.970*x3 + 5.680*x4 + 0.490*x5) + 0.260,297,2.1337922934946105
rastrigin,5,GA-OBN (v2),2,0.015634953407890576,0.09773839286954855,0.4167949572585241,0.12503980729307998,13.644996166229248,32,0.130*sin(7.240*x1 + -7.890*x2 + 5.330*x3 + -1.240*x4 + -1.880*x5) * -0.760*cos(1.990*x1 + 2.760*x2 + 6.710*x3 + -0.060*x4 + 3.860*x5) * 0.690*cos(-5.470*x1 + 3.610*x2 + -3.160*x3 + -5.460*x4 + -1.880*x5) + 0.160*(x1^3.520 + x2^2.720 + x3^2.660 + x4^2.450 + x5^2.290) + 0.290,296,2.0002678111337078
rastrigin,5,GA-OBN (v2),3,0.019699168291003547,0.11205823233757059,0.2651942103435877,0.14035372560428722,16.203834772109985,32,0.980*cos(-1.950*x1 + -2.330*x2 + 3.950*x3 + -0.110*x4 + -2.190*x5) * 0.680*sin(3.630*x1 + 5.850*x2 + 1.060*x3 + -3.820*x4 + -3.880*x5) * -0.070*(x1^9.460 + x2^0.820 + x3^3.000 + x4^9.000 + x5^9.350) + 0.290*(x1^4.400 + x2^1.290 + x3^0.160 + x4^1.230 + x5^1.180) + -0.200,298,1.8715541258024762
rastrigin,5,GA-OBN (v2),4,0.015484760436730985,0.09955978553458258,0.42239735950939317,0.12443777736978022,19.22291088104248,32,0.130*(x1^0.680 + x2^1.880 + x3^0.560 + x4^1.620 + x5^1.800) * 0.370*(x1^3.340 + x2^1.950 + x3^2.700 + x4^1.760 + x5^1.790) + 0.010*(x1^0.060 + x2^0.890 + x3^9.760 + x4^1.920 + x5^2.350) * 0.980*sin(-7.730*x1 + 2.380*x2 + -3.520*x3 + -4.710*x4 + 7.740*x5) + 0.310,300,2.0674607020712847
